City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,Clinton,42.587,-82.9199,64.92,73,75,1.01,US,2021-09-27 12:33:02
262,Constitucion,-35.3333,-72.4167,52.48,49,100,7.74,CL,2021-09-27 12:33:03
263,Kamenka,51.3223,42.7678,53.47,74,99,13.6,RU,2021-09-27 12:33:04
264,Axim,4.8699,-2.2405,81.28,77,100,10.11,GH,2021-09-27 12:33:06
265,Rognan,67.0953,15.3878,66.34,61,34,10.78,NO,2021-09-27 12:33:07
266,Kampot,10.6167,104.1833,82.45,84,100,3.38,KH,2021-09-27 12:33:08
267,Sao Joao Da Barra,-21.6403,-41.0511,77.09,73,11,14.88,BR,2021-09-27 12:33:09
268,Ayna,-12.65,-73.9167,68.5,65,71,3.13,PE,2021-09-27 12:33:10
269,Hirara,24.8,125.2833,84.02,73,5,17.56,JP,2021-09-27 12:28:46
270,Mashhad,36.297,59.6062,69.94,60,0,13.8,IR,2021-09-27 12:33:12
271,Naze,28.3667,129.4833,77.58,77,41,13.04,JP,2021-09-27 12:30:33
272,Victoria,22.2855,114.1577,86.22,83,0,1.99,HK,2021-09-27 12:32:51
273,Saldanha,-33.0117,17.9442,60.85,66,98,17.11,ZA,2021-09-27 12:33:14
274,Brae,60.3964,-1.353,57.11,96,100,28.39,GB,2021-09-27 12:33:15
275,Akyab,20.15,92.9,78.62,89,100,19.42,MM,2021-09-27 12:33:16
276,Korla,41.7597,86.1469,73.27,20,0,3.62,CN,2021-09-27 12:33:17
277,Huarmey,-10.0681,-78.1522,63.52,84,75,4.63,PE,2021-09-27 12:33:17
278,Westport,41.1415,-73.3579,66.74,74,75,5.99,US,2021-09-27 12:33:19
279,Unai,-16.3575,-46.9061,88.36,25,1,6.33,BR,2021-09-27 12:33:20
280,Merrill,45.1805,-89.6835,53.37,100,75,0.0,US,2021-09-27 12:33:22
281,Pangody,65.85,74.4859,34.59,71,13,4.54,RU,2021-09-27 12:33:23
282,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,93,0,4.47,RU,2021-09-27 12:33:25
283,Yerbogachen,61.2767,108.0108,35.67,85,100,13.44,RU,2021-09-27 12:33:26
284,Pisco,-13.7,-76.2167,60.85,82,90,9.22,PE,2021-09-27 12:33:28
285,Portland,45.5234,-122.6762,59.97,93,100,3.0,US,2021-09-27 12:33:29
286,Waw,7.7029,27.9953,90.82,45,61,1.92,SS,2021-09-27 12:33:30
287,Halifax,44.6453,-63.5724,61.09,81,1,1.01,CA,2021-09-27 12:33:32
288,Chuy,-33.6971,-53.4616,64.45,72,6,5.66,UY,2021-09-27 12:33:33
289,Nemuro,43.3236,145.575,56.8,82,0,11.45,JP,2021-09-27 12:33:34
290,Athabasca,54.7169,-113.2854,51.62,94,57,6.22,CA,2021-09-27 12:33:35
291,Ambilobe,-13.2,49.05,85.62,47,94,4.9,MG,2021-09-27 12:33:36
292,Jackson,42.4165,-122.8345,63.55,63,90,0.0,US,2021-09-27 12:33:37
